,Stop ID,Stop Latitude,Stop Longitude,Stop Name,Suburb,Location,distance_next_stop,distance_suburb_center
156,4810,-35.242207,149.03276100000002,MURRANJI ST AFTER ALEXANDRIA ST,HAWKER,"(-35.242207, 149.032761)",0.041272346154101476,0.5160218247433075
157,4811,-35.241894,149.033005,MURRANJI ST AFTER BELCONNEN WAY,HAWKER,"(-35.241894, 149.033005)",0.041272346154101476,0.5106574634670461
158,4823,-35.241856,149.04345700000002,BELCONNEN WY AFTER SPRINGVALE DR,HAWKER,"(-35.241856, 149.043457)",0.029732468960959497,0.550107909087156
159,4986,-35.229664,149.022766,FULLAGAR CR BEFORE ASHBURNER ST,HIGGINS,"(-35.229664, 149.022766)",0.051686195626437066,0.49483627001651737
160,4987,-35.230949,149.02311699999998,FULLAGAR CR HIGGINS OVAL,HIGGINS,"(-35.230949, 149.023117)",0.03775641508204111,0.3989359955390501
161,4990,-35.230095,149.02844199999998,CASTIEAU CR AFTER DETHRIDGE ST,HIGGINS,"(-35.230095, 149.028442)",0.015560831168434217,0.26126487094514783
162,2408,-35.335564,149.046356,BLACKWOOD TCE AFTER HYNDES CR,HOLDER,"(-35.335564, 149.046356)",0.012984014122225223,0.13225404726148743
163,2397,-35.335625,149.046478,BLACKWOOD TCE AFTER PEARSON ST,HOLDER,"(-35.335625, 149.046478)",0.012984014122225223,0.14044849600164905
164,2394,-35.331921,149.049057,MULLEY ST GRANT CAMERON CENTRE,HOLDER,"(-35.331921, 149.049057)",0.08192405226880842,0.5842714058048797
165,5030,-35.224971999999994,149.005096,SPOFFORTH ST AFTER MESSSENGER ST,HOLT,"(-35.224972, 149.005096)",0.03526580841696881,0.9294938541761157
166,4954,-35.222072999999995,149.01191699999998,BEAUREPAIRE CR AFTER MESSENGER ST,HOLT,"(-35.222073, 149.011917)",0.013473763405766958,0.3840794651474294
167,4951,-35.225277,149.00499,SPOFFORTH ST BEFORE MESSENGER ST,HOLT,"(-35.225277, 149.00499)",0.03526580841696881,0.9429189421640793
168,2016,-35.326916,149.090012,CARRUTHERS ST BEFORE GROOM ST,HUGHES,"(-35.326916, 149.090012)",0.018713239038494162,0.767410500917487
169,2639,-35.328666999999996,149.08866899999998,GROOM ST OPP ST. ANDREWS VILLAGE,HUGHES,"(-35.328667, 149.088669)",0.03689408232296359,0.6828658279452509
170,2640,-35.331596000000005,149.089264,GROOM ST AFTER WEBSTER ST,HUGHES,"(-35.331596, 149.089264)",0.045171225280871294,0.45725165773346443
171,6666,-35.372116,149.17001299999998,ALEXANDER MACONOCHIE CENTRE,HUME,"(-35.372116, 149.170013)",1.6015175449096732,1.6555452575776883
172,2657,-35.39283,149.164597,SHEPPARD ST BEFORE TRALEE ST,HUME,"(-35.39283, 149.164597)",0.683802784088023,0.8127405030260343
173,2661,-35.38884,149.170334,SHEPPARD ST AFTER JOHNS PL,HUME,"(-35.38884, 149.170334)",0.402959531512163,0.20689178747703946
174,2461,-35.370028999999995,149.11146499999998,JULIA FLYNN AV AFTER DORSCH ST,ISAACS,"(-35.370029, 149.111465)",0.03288059341518306,0.2813846967849087
175,2458,-35.365765,149.112518,JULIA FLYNN AV 2ND AFTER RINGROSE CR,ISAACS,"(-35.365765, 149.112518)",0.021093664180799065,0.2184707919014828
176,2459,-35.367218,149.112823,JULIA FLYNN AV OPP ISAACS SHOPS,ISAACS,"(-35.367218, 149.112823)",0.01984933640729644,0.13379712501164795
177,1016,-35.428921,149.102844,ELLERSTON AV AFTER ASHLEY DR,ISABELLA PLAINS,"(-35.428921, 149.102844)",0.015048921391182865,0.7182799420903717
178,1007,-35.427859999999995,149.091034,ELLERSTON AV OPP ISABELLA PLAINS SHOPS,ISABELLA PLAINS,"(-35.42786, 149.091034)",0.05466633335813633,0.35979598522963546
179,1001,-35.426113,149.091614,DRUMSTON ST OPP MACKILLOP COLLEGE,ISABELLA PLAINS,"(-35.426113, 149.091614)",0.017720004176181053,0.3718035936806816
